,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
4807,4807,1,5710,PROC. DIGITALES DE SEÑALES,MCT-PLS09 ,8,1,2012,1,1,2012,8,21,8,38,0,[2],1.0,,es_899,2.0
4808,4808,1,5710,PROC. DIGITALES DE SEÑALES,MCT-PLS09 ,8,1,2012,1,1,2012,16,22,6,0,0,[2],0.0,,es_907,2.0
4809,4809,1,5710,PROC. DIGITALES DE SEÑALES,MCT-PLS09 ,8,1,2012,1,1,2012,12,17,6,32,0,[2],1.0,,es_1003,2.0
4810,4810,1,5710,PROC. DIGITALES DE SEÑALES,MCT-PLS09 ,8,1,2012,1,1,2012,16,29,10,0,0,[5],1.0,,es_1027,5.0
4811,4811,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_905,0.0
4812,4812,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,1,2012,16,29,0,0,0,[2],1.0,,es_906,2.0
4813,4813,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,0,2012,13,27,0,0,0,[0],1.0,,es_1026,0.0
4814,4814,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_569,0.0
4815,4815,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,1,2012,17,28,0,0,0,[5],1.0,,es_583,5.0
4816,4816,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,1,2012,15,36,0,0,0,[5],1.0,,es_907,5.0
4817,4817,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,1,2012,16,24,0,0,0,[4],1.0,,es_629,4.0
4818,4818,1,5711,GEST. DE CALIDAD E IMPACTO AMBIENTAL,MCT-PLS09 ,8,1,2012,1,1,2012,13,35,0,0,0,[4],1.0,,es_1027,4.0
4819,4819,1,5712,PROYECTO 3,MCT-PLS09 ,8,1,2012,1,1,2012,21,32,0,0,0,[5],1.0,,es_907,5.0
4820,4820,1,5712,PROYECTO 3,MCT-PLS09 ,8,1,2012,1,1,2012,20,36,0,0,0,[5],1.0,,es_1027,5.0
4821,4821,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,32,10,0,0,[2],1.0,,es_468,2.0
4822,4822,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,13,27,10,0,0,[3],1.0,,es_0,3.0
4823,4823,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,2012,13,35,10,0,0,[0],1.0,,es_850,0.0
4824,4824,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,11,32,10,0,0,[3],1.0,,es_859,3.0
4825,4825,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,14,31,10,0,0,[5],1.0,,es_860,5.0
4826,4826,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2011,0,0,0,0,0,[4],0.0,,es_680,4.0
4827,4827,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_71,5.0
4828,4828,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,12,33,10,0,0,[5],1.0,,es_820,5.0
4829,4829,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,15,22,10,0,0,[4],1.0,,es_99,4.0
4830,4830,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,11,28,10,0,0,[5],0.0,,es_73,5.0
4831,4831,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,11,32,10,0,0,[4],1.0,,es_74,4.0
4832,4832,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,13,32,10,0,0,[3],1.0,,es_861,3.0
4833,4833,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,2012,9,25,10,0,0,[0],1.0,,es_489,0.0
4834,4834,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,20,31,10,0,0,[5],1.0,,es_100,5.0
4835,4835,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,30,10,0,0,[5],1.0,,es_1079,5.0
4836,4836,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,18,32,10,0,0,[5],1.0,,es_31,5.0
4837,4837,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,16,34,10,0,0,[5],1.0,,es_893,5.0
4838,4838,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,16,28,10,0,0,[4],1.0,,es_75,4.0
4839,4839,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,14,29,10,0,0,[4],1.0,,es_32,4.0
4840,4840,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,20,31,10,0,0,[5],1.0,,es_8,5.0
4841,4841,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_695,0.0
4842,4842,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,14,35,10,0,0,[5],1.0,,es_9,5.0
4843,4843,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,19,26,10,0,0,[5],1.0,,es_33,5.0
4844,4844,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_894,0.0
4845,4845,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,20,27,10,0,0,[4],1.0,,es_181,4.0
4846,4846,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,9,30,10,0,0,[5],1.0,,es_10,5.0
4847,4847,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],1.0,,es_11,0.0
4848,4848,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,19,25,10,0,0,[5],1.0,,es_102,5.0
4849,4849,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,33,10,0,0,[5],1.0,,es_897,5.0
4850,4850,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,29,10,0,0,[3],1.0,,es_906,3.0
4851,4851,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,24,10,0,0,[3],1.0,,es_708,3.0
4852,4852,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,2012,9,24,8,12,0,[0],1.0,,es_911,0.0
4853,4853,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,0,15,0,0,0,0,[0],0.0,,es_81,0.0
4854,4854,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,24,10,0,0,[4],1.0,,es_141,4.0
4855,4855,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,16,32,10,0,0,[5],1.0,,es_531,5.0
4856,4856,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,16,30,10,0,0,[4],1.0,,es_83,4.0
4857,4857,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,2012,0,0,0,0,0,[0],0.0,,es_719,0.0
4858,4858,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,14,32,10,0,0,[4],1.0,,es_84,4.0
4859,4859,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,36,10,0,0,[5],1.0,,es_121,5.0
4860,4860,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,2012,0,31,10,15,0,[0],1.0,,es_825,0.0
4861,4861,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,11,34,10,0,0,[3],1.0,,es_41,3.0
4862,4862,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,16,33,10,0,0,[4],1.0,,es_833,4.0
4863,4863,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,11,32,10,0,0,[3],1.0,,es_18,3.0
4864,4864,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,19,34,10,0,0,[5],1.0,,es_122,5.0
4865,4865,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,9,30,10,0,0,[2],1.0,,es_814,2.0
4866,4866,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,12,30,10,0,0,[3],1.0,,es_562,3.0
4867,4867,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,18,29,10,0,0,[4],1.0,,es_19,4.0
4868,4868,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,0,9,30,10,0,0,[0],1.0,,es_123,0.0
4869,4869,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,0,2012,13,32,10,0,0,[0],1.0,,es_570,0.0
4870,4870,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,20,29,10,0,0,[5],1.0,,es_112,5.0
4871,4871,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,11,26,0,0,0,[2],1.0,,es_815,2.0
4872,4872,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,18,31,10,0,0,[4],1.0,,es_115,4.0
4873,4873,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,30,10,0,0,[4],1.0,,es_741,4.0
4874,4874,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,13,32,10,0,0,[4],1.0,,es_248,4.0
4875,4875,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,17,28,10,0,0,[4],1.0,,es_583,4.0
4876,4876,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,9,33,10,0,0,[5],1.0,,es_587,5.0
4877,4877,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,14,30,10,0,0,[5],1.0,,es_21,5.0
4878,4878,1,5722,NOCIONES DE DERECHO,MCT-PLS09 ,10,1,2012,1,1,2012,10,29,8,0,0,[3],1.0,,es_602,3.0
