,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
5023,5023,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,22,33,10,0,0,[5],1.0,,es_1090,5.0
5024,5024,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,16,21,3,0,0,[3],1.0,,es_117,3.0
5025,5025,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,1,2012,20,26,9,0,0,[5],1.0,,es_1091,5.0
5026,5026,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,21,28,0,0,0,[5],1.0,,es_243,5.0
5027,5027,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,15,27,0,0,0,[4],1.0,,es_1082,4.0
5029,5029,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,19,21,0,0,0,[4],1.0,,es_689,4.0
5030,5030,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,21,20,0,0,0,[4],1.0,,es_269,4.0
5031,5031,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,12,32,0,0,0,[5],1.0,,es_1084,5.0
5032,5032,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,14,29,0,0,0,[5],1.0,,es_277,5.0
5033,5033,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,21,8,0,0,0,[3],1.0,,es_515,3.0
5034,5034,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,14,33,0,0,0,[5],1.0,,es_1085,5.0
5035,5035,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_422,0.0
5036,5036,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,14,36,0,0,0,[5],1.0,,es_298,5.0
5037,5037,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_536,0.0
5038,5038,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_538,0.0
5039,5039,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,21,34,0,0,0,[5],1.0,,es_1086,5.0
5040,5040,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,17,25,0,0,0,[4],1.0,,es_430,4.0
5041,5041,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,22,31,0,0,0,[5],1.0,,es_1087,5.0
5042,5042,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,19,26,0,0,0,[5],1.0,,es_1088,5.0
5043,5043,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,22,23,0,0,0,[5],1.0,,es_757,5.0
5044,5044,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,20,28,0,0,0,[5],1.0,,es_1089,5.0
5045,5045,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,24,35,0,0,0,[5],1.0,,es_1090,5.0
5046,5046,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,19,34,0,0,0,[5],1.0,,es_1091,5.0
5047,5047,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,13,25,0,0,0,[5],1.0,,es_878,5.0
5048,5048,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,1,2012,22,27,0,0,0,[5],1.0,,es_400,5.0
5049,5049,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,11,21,10,0,0,[3],1.0,,es_1082,3.0
5050,5050,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,0,0,4,16,0,0,0,[0],1.0,,es_1083,0.0
5051,5051,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,16,20,5,0,0,[5],1.0,,es_689,5.0
5052,5052,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,6,19,10,26,0,[2],1.0,,es_269,2.0
5053,5053,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,17,22,5,0,0,[2],1.0,,es_1084,2.0
5054,5054,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,24,22,0,0,0,[4],1.0,,es_277,4.0
5055,5055,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,16,19,10,0,0,[2],1.0,,es_515,2.0
5056,5056,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,24,22,10,0,0,[5],1.0,,es_1085,5.0
5057,5057,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_536,0.0
5058,5058,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_538,0.0
5059,5059,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,23,21,0,0,0,[2],1.0,,es_1086,2.0
5060,5060,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,16,15,10,40,0,[4],1.0,,es_1087,4.0
5061,5061,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,0,28,10,0,0,[2],1.0,,es_1088,2.0
5062,5062,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,4,16,10,0,0,[2],1.0,,es_592,2.0
5063,5063,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,19,16,10,0,0,[4],1.0,,es_757,4.0
5064,5064,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,16,21,10,0,0,[3],1.0,,es_1089,3.0
5065,5065,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,23,35,10,0,0,[5],1.0,,es_1090,5.0
5066,5066,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,16,30,10,0,0,[5],1.0,,es_1091,5.0
5067,5067,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,14,21,10,0,0,[3],1.0,,es_878,3.0
5068,5068,1,7212,INVEST. DE OPERACIONES 2,IND-PLS09 ,6,1,2012,1,1,2012,19,0,0,0,0,[5],1.0,,es_400,5.0
5069,5069,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],1.0,,es_243,0.0
5070,5070,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,18,29,0,0,0,[3],1.0,,es_1082,3.0
5071,5071,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,20,25,0,0,0,[4],1.0,,es_689,4.0
5072,5072,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,20,17,0,0,0,[2],1.0,,es_1084,2.0
5073,5073,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,0,0,17,4,0,0,0,[0],1.0,,es_515,0.0
5074,5074,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,23,27,0,0,0,[3],1.0,,es_1085,3.0
5075,5075,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,0,0,5,0,0,0,0,[0],1.0,,es_536,0.0
5076,5076,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_538,0.0
5077,5077,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,20,18,0,0,0,[3],1.0,,es_1086,3.0
5078,5078,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,0,0,14,16,0,0,0,[0],1.0,,es_430,0.0
5079,5079,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,18,28,0,0,0,[4],1.0,,es_111,4.0
5080,5080,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,23,26,0,0,0,[5],1.0,,es_1087,5.0
5081,5081,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,13,23,0,0,0,[2],1.0,,es_1088,2.0
5082,5082,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,20,26,0,0,0,[3],1.0,,es_1089,3.0
5083,5083,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,27,39,0,0,0,[5],1.0,,es_1090,5.0
5084,5084,1,7213,ELECTROTECNIA 2,IND-PLS09 ,6,1,2012,1,1,2012,22,24,0,0,0,[4],1.0,,es_1091,4.0
5085,5085,1,7217,GESTION EMPRESARIAL,IND-175-09,7,1,2012,1,1,2012,21,28,8,0,0,[5],1.0,,es_1094,5.0
5087,5087,1,7219,PROCESOS INDUSTRIALES 1,IND-PLS09 ,8,1,2012,1,1,2012,23,43,0,0,0,[5],1.0,,es_851,5.0
5088,5088,1,7219,PROCESOS INDUSTRIALES 1,IND-PLS09 ,8,1,2012,1,1,2012,19,38,0,0,0,[5],1.0,,es_412,5.0
5089,5089,1,7219,PROCESOS INDUSTRIALES 1,IND-PLS09 ,8,1,2012,1,1,2012,21,40,0,0,0,[5],1.0,,es_698,5.0
5090,5090,1,7219,PROCESOS INDUSTRIALES 1,IND-PLS09 ,8,1,2012,1,1,2012,23,42,0,0,0,[5],1.0,,es_852,5.0
5091,5091,1,7219,PROCESOS INDUSTRIALES 1,IND-PLS09 ,8,1,2012,1,1,2012,24,44,0,0,0,[5],1.0,,es_248,5.0
5092,5092,1,7219,PROCESOS INDUSTRIALES 1,IND-PLS09 ,8,1,2012,1,1,2012,18,37,0,0,0,[4],1.0,,es_754,4.0
5093,5093,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,18,35,0,0,0,[5],1.0,,es_98,5.0
5094,5094,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,0,2012,16,30,0,0,0,[0],1.0,,es_1083,0.0
5095,5095,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,22,38,0,0,0,[5],1.0,,es_851,5.0
5096,5096,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,20,39,0,0,0,[5],1.0,,es_709,5.0
5097,5097,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,22,38,0,0,0,[5],1.0,,es_852,5.0
5098,5098,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,18,32,0,0,0,[4],1.0,,es_303,4.0
5099,5099,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,12,25,0,0,0,[2],1.0,,es_714,2.0
5100,5100,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,17,37,0,0,0,[5],1.0,,es_106,5.0
5101,5101,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,22,34,0,0,0,[5],1.0,,es_788,5.0
5102,5102,1,7220,SISTEMA DE PLANIF. ESTRATEGICA,IND-PLS09 ,8,1,2012,1,1,2012,17,32,0,0,0,[4],1.0,,es_853,4.0
