,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
5144,1,INGENIERIA ECONOMICA,1,2012,1,2012,4,26,8,[4],es_98,4.0
5145,1,INGENIERIA ECONOMICA,1,2012,1,2012,21,28,9,[5],es_851,5.0
5146,1,INGENIERIA ECONOMICA,1,2012,1,2012,19,27,8,[4],es_699,4.0
5147,1,INGENIERIA ECONOMICA,1,2012,1,2012,18,30,9,[5],es_709,5.0
5148,1,INGENIERIA ECONOMICA,1,2012,1,2012,20,36,9,[5],es_852,5.0
5149,1,INGENIERIA ECONOMICA,1,2012,1,2012,18,35,9,[5],es_303,5.0
5150,1,INGENIERIA ECONOMICA,1,2012,1,2012,17,36,9,[5],es_106,5.0
5151,1,INGENIERIA ECONOMICA,1,2012,1,2012,24,34,9,[5],es_788,5.0
5152,1,INGENIERIA ECONOMICA,1,2012,1,2012,17,33,9,[5],es_111,5.0
5153,1,INGENIERIA ECONOMICA,1,2012,1,2012,16,32,9,[5],es_738,5.0
5154,1,INGENIERIA ECONOMICA,1,2012,1,2012,3,33,9,[5],es_853,5.0
5155,1,INGENIERIA ECONOMICA,1,2012,1,2012,18,29,8,[5],es_114,5.0
5156,1,INGENIERIA ECONOMICA,1,2012,1,2012,16,27,8,[5],es_252,5.0
5157,1,INGENIERIA ECONOMICA,1,2012,1,2012,3,23,8,[5],es_592,5.0
5158,1,INGENIERIA ECONOMICA,1,2012,1,2012,16,24,8,[5],es_750,5.0
5159,1,INGENIERIA ECONOMICA,1,2012,1,2012,17,26,8,[3],es_754,3.0
5160,1,INGENIERIA ECONOMICA,1,2012,1,2012,11,26,8,[4],es_249,4.0
5161,1,COSTOS INDUSTRIALES,1,2012,0,2012,0,31,9,[0],es_690,0.0
5162,1,GESTION DE SALUD Y SEGURIDAD INDUST.,1,2012,1,2012,22,44,0,[5],es_469,5.0
5163,1,GESTION DE SALUD Y SEGURIDAD INDUST.,1,2012,1,2012,17,41,0,[5],es_251,5.0
5164,1,GESTION DE SALUD Y SEGURIDAD INDUST.,1,2012,1,2012,20,43,0,[5],es_244,5.0
5165,1,GESTION DE SALUD Y SEGURIDAD INDUST.,1,2012,1,2012,23,42,0,[5],es_855,5.0
