,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
4898,1,NOCIONES DE DERECHO,1,2012,1,2012,7,29,10,[5],es_775,5.0
4899,1,NOCIONES DE DERECHO,1,2012,1,2012,11,29,8,[3],es_916,3.0
4900,1,NOCIONES DE DERECHO,1,2012,1,2012,20,31,8,[5],es_917,5.0
4901,1,NOCIONES DE DERECHO,1,2012,0,2012,10,21,10,[0],es_61,0.0
4902,1,NOCIONES DE DERECHO,1,2012,1,2012,17,30,10,[5],es_667,5.0
4903,1,PASANTIAS,1,2012,0,0,0,0,0,[0],es_26,0.0
4904,1,PASANTIAS,1,2012,1,2012,0,0,0,[4],es_27,4.0
4905,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_30,5.0
4906,1,PASANTIAS,1,2012,1,2012,0,0,0,[4],es_43,4.0
4924,1,LENGUAJE DE PROGRAMACION VISUAL,1,2012,1,2012,21,31,10,[5],es_56,5.0
4925,1,ROBOTICA 2,1,2012,0,2012,12,25,1,[0],es_26,0.0
4927,1,ROBOTICA 2,1,2012,1,2012,20,24,10,[5],es_30,5.0
4928,1,ROBOTICA 2,1,2012,1,2012,20,34,10,[5],es_39,5.0
4929,1,ROBOTICA 2,1,2012,0,0,0,0,0,[0],es_43,0.0
4930,1,ORGANIZACION DE EMPRESAS 1,2,2012,1,2012,0,0,0,[5],es_907,5.0
4931,1,ORGANIZACION DE EMPRESAS 1,2,2012,1,2012,0,0,0,[5],es_1003,5.0
4557,2,INTRODUCCION A LA INVESTIGACION,2,2012,1,2012,23,14,2,[3],es_892,3.0
4575,2,INTRODUCCION A LA INVESTIGACION,2,2012,1,2012,20,28,5,[5],es_900,5.0
4580,2,INTRODUCCION A LA INVESTIGACION,2,2012,0,2012,0,0,0,[0],es_599,0.0
4587,2,INTRODUCCION A LA INVESTIGACION,2,2012,0,0,11,13,2,[0],es_625,0.0
5228,2,SISTEMAS DIGITALES 1,1,2012,1,2012,17,24,6,[4],es_892,4.0
5234,2,SISTEMAS DIGITALES 1,1,2012,1,2012,19,36,6,[5],es_894,5.0
5236,2,SISTEMAS DIGITALES 1,1,2012,1,2012,19,18,6,[2],es_896,2.0
5238,2,SISTEMAS DIGITALES 1,1,2012,1,2012,19,18,6,[4],es_906,4.0
5248,2,SISTEMAS DIGITALES 1,1,2012,1,2012,18,36,6,[5],es_900,5.0
